,Age,Gender,State,SS1,SS2,SS3,SS4,SS5,SS6,SS7,SS8,SS9,SS10,SS11,SS12,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,SS Score,Moderate,High,Low,R Score,Developing,Established,Exceptional,Strong
0,19.0,0,17,5,3,6,5,4,6,5,4,5,5,6,5,3,2,1,1,1,2,1,1,1,3,1,1,4.916666666666667,0.0,0.0,1.0,18,1.0,0.0,0.0,0.0
1,19.0,0,8,4,6,6,6,6,6,6,6,6,6,6,6,4,4,3,3,3,4,2,3,3,3,3,3,5.833333333333333,1.0,0.0,0.0,38,0.0,1.0,0.0,0.0
2,19.0,1,4,4,5,7,6,4,5,5,6,6,5,6,4,4,4,5,5,4,5,4,3,5,5,4,4,5.25,1.0,0.0,0.0,52,0.0,0.0,1.0,0.0
3,19.0,1,12,5,6,6,6,6,6,6,2,6,2,6,6,2,5,1,1,4,5,1,2,3,4,4,3,5.25,1.0,0.0,0.0,35,1.0,0.0,0.0,0.0
4,19.0,1,1,6,4,6,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,3,4,4.333333333333333,0.0,0.0,1.0,36,1.0,0.0,0.0,0.0
5,19.0,1,10,6,7,7,6,6,4,6,5,7,6,4,6,3,5,3,3,4,4,4,2,3,2,4,5,5.833333333333333,1.0,0.0,0.0,42,0.0,1.0,0.0,0.0
6,19.0,0,15,7,6,6,7,7,5,5,7,5,7,6,5,4,3,1,1,2,4,1,4,4,5,3,3,6.083333333333333,1.0,0.0,0.0,35,1.0,0.0,0.0,0.0
7,19.0,1,12,4,5,5,5,5,5,1,4,4,5,5,5,4,3,5,5,3,3,3,3,3,4,4,4,4.416666666666667,0.0,0.0,1.0,44,0.0,0.0,0.0,1.0
8,19.0,1,16,4,4,4,4,4,4,4,4,4,4,4,4,5,5,3,3,5,4,3,3,4,4,4,3,4.0,0.0,0.0,1.0,46,0.0,0.0,0.0,1.0
9,23.0,0,19,5,6,2,5,2,6,4,2,6,4,4,5,3,5,5,5,5,1,5,1,3,5,5,5,4.25,0.0,0.0,1.0,48,0.0,0.0,0.0,1.0
10,19.0,1,17,1,1,5,5,1,6,6,4,4,1,6,4,5,3,1,1,5,4,5,3,4,3,4,1,3.6666666666666665,0.0,0.0,1.0,39,0.0,1.0,0.0,0.0
11,19.0,0,12,3,4,6,5,4,4,4,4,5,3,5,4,3,4,3,3,3,2,3,2,4,4,3,3,4.25,0.0,0.0,1.0,37,1.0,0.0,0.0,0.0
12,18.0,0,15,5,5,6,3,5,6,3,5,5,5,6,6,4,4,4,4,3,4,4,4,3,5,4,3,5.0,0.0,0.0,1.0,46,0.0,0.0,0.0,1.0
13,19.0,1,16,6,5,7,7,6,7,7,6,7,5,7,7,4,5,4,4,4,4,4,5,5,4,3,4,6.416666666666667,1.0,0.0,0.0,50,0.0,0.0,1.0,0.0
14,20.0,2,0,4,6,2,6,2,6,5,5,6,2,6,5,3,2,4,4,1,3,2,5,4,1,5,2,4.583333333333333,0.0,0.0,1.0,36,1.0,0.0,0.0,0.0
15,16.0,0,12,7,7,5,5,7,6,7,5,7,7,6,6,3,2,4,4,3,3,1,4,4,3,4,3,6.25,1.0,0.0,0.0,38,0.0,1.0,0.0,0.0
16,19.0,0,14,4,7,2,4,7,4,3,3,1,7,4,3,5,3,4,4,3,3,3,4,3,4,4,4,4.083333333333333,0.0,0.0,1.0,44,0.0,0.0,0.0,1.0
17,34.0,1,9,6,5,3,3,5,6,5,2,7,6,2,4,5,4,4,4,5,5,4,3,5,5,4,5,4.5,0.0,0.0,1.0,53,0.0,0.0,1.0,0.0
18,19.0,0,12,5,6,6,7,6,4,2,6,6,6,6,6,3,4,3,3,4,4,3,4,4,3,2,3,5.5,1.0,0.0,0.0,40,0.0,1.0,0.0,0.0
19,16.0,1,12,4,4,6,6,5,2,2,6,6,2,6,5,3,4,4,4,4,4,3,1,4,5,4,5,4.5,0.0,0.0,1.0,45,0.0,0.0,0.0,1.0
20,20.0,1,8,5,5,7,6,5,6,6,5,7,4,7,5,3,4,4,4,2,3,2,5,4,3,2,3,5.666666666666667,1.0,0.0,0.0,39,0.0,1.0,0.0,0.0
21,16.0,0,12,5,5,6,5,6,6,6,5,6,6,5,7,3,3,3,3,2,2,3,2,3,3,2,3,5.666666666666667,1.0,0.0,0.0,32,1.0,0.0,0.0,0.0
22,19.0,0,10,5,5,6,5,5,5,5,5,5,5,6,7,3,4,2,2,4,4,4,2,3,4,4,4,5.333333333333333,1.0,0.0,0.0,40,0.0,1.0,0.0,0.0
23,23.0,0,6,5,4,6,5,4,7,6,4,6,4,5,6,4,4,3,3,2,4,3,1,3,3,3,4,5.166666666666667,1.0,0.0,0.0,37,1.0,0.0,0.0,0.0
24,19.0,1,11,6,7,5,4,7,5,6,4,6,7,6,7,5,5,4,4,5,5,3,1,4,5,4,5,5.833333333333333,1.0,0.0,0.0,50,0.0,0.0,1.0,0.0
25,19.0,1,8,4,4,7,7,4,4,6,7,4,4,7,7,3,3,4,4,4,3,2,3,4,5,3,5,5.416666666666667,1.0,0.0,0.0,43,0.0,1.0,0.0,0.0
26,20.0,0,19,5,6,7,6,5,6,7,6,5,5,6,6,3,5,2,2,3,3,2,5,3,3,5,3,5.833333333333333,1.0,0.0,0.0,39,0.0,1.0,0.0,0.0
27,17.0,0,12,4,5,6,6,6,4,3,5,4,5,6,5,3,4,3,3,3,4,3,4,3,3,3,4,4.916666666666667,0.0,0.0,1.0,40,0.0,1.0,0.0,0.0
28,20.0,0,18,4,4,6,6,7,6,6,2,6,6,6,5,3,4,3,3,2,3,3,3,3,3,3,3,5.333333333333333,1.0,0.0,0.0,36,1.0,0.0,0.0,0.0
29,16.0,1,6,5,3,1,1,1,3,5,1,2,2,5,2,4,5,5,5,5,3,1,2,4,4,4,2,2.5833333333333335,0.0,1.0,0.0,44,0.0,0.0,0.0,1.0
30,18.0,1,19,1,1,5,7,1,4,1,4,6,1,5,4,3,3,2,2,1,1,3,3,4,2,3,1,3.3333333333333335,0.0,0.0,1.0,28,1.0,0.0,0.0,0.0
31,19.0,0,12,4,5,5,3,4,6,6,3,5,4,6,6,2,5,3,3,4,3,2,3,3,4,4,3,4.75,0.0,0.0,1.0,39,0.0,1.0,0.0,0.0
32,19.0,2,13,1,2,2,4,1,4,1,1,1,1,1,1,3,3,5,5,1,1,2,2,3,3,2,5,1.6666666666666667,0.0,1.0,0.0,35,1.0,0.0,0.0,0.0
33,19.0,1,12,5,4,7,6,5,6,7,6,6,4,6,5,3,4,4,4,5,4,3,3,4,5,3,3,5.583333333333333,1.0,0.0,0.0,45,0.0,0.0,0.0,1.0
34,16.0,1,6,6,5,6,3,6,6,7,3,7,5,6,6,4,4,3,3,3,3,4,3,5,4,4,3,5.5,1.0,0.0,0.0,43,0.0,1.0,0.0,0.0
35,20.0,1,6,4,6,4,3,7,7,6,2,4,4,4,6,4,5,3,3,4,4,2,5,4,4,3,3,4.75,0.0,0.0,1.0,44,0.0,0.0,0.0,1.0
36,19.0,0,7,6,4,6,5,6,4,4,6,4,4,4,4,5,4,3,3,2,4,3,5,3,5,2,2,4.75,0.0,0.0,1.0,41,0.0,1.0,0.0,0.0
37,18.0,1,6,5,7,3,1,6,7,7,1,7,7,7,7,4,4,2,2,4,5,2,4,4,1,1,3,5.416666666666667,1.0,0.0,0.0,36,1.0,0.0,0.0,0.0
38,20.0,1,3,5,3,6,5,1,4,3,5,5,3,5,3,4,5,5,5,4,3,3,1,3,5,4,3,4.0,0.0,0.0,1.0,45,0.0,0.0,0.0,1.0
39,19.0,0,9,5,5,5,5,5,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4.583333333333333,0.0,0.0,1.0,48,0.0,0.0,0.0,1.0
40,16.0,1,6,1,1,1,1,1,1,1,1,1,1,1,1,3,4,3,3,2,3,1,1,2,4,2,3,1.0,0.0,1.0,0.0,31,1.0,0.0,0.0,0.0
41,16.0,1,6,6,5,5,5,6,6,6,5,6,6,6,6,3,4,2,2,4,4,3,1,5,3,4,3,5.666666666666667,1.0,0.0,0.0,38,0.0,1.0,0.0,0.0
42,20.0,0,12,6,6,6,2,2,2,4,2,2,2,6,6,3,3,4,4,2,3,5,1,3,4,2,4,3.8333333333333335,0.0,0.0,1.0,38,0.0,1.0,0.0,0.0
43,19.0,0,6,5,5,2,2,5,6,5,1,6,5,1,7,5,2,4,4,5,5,2,3,4,5,2,2,4.166666666666667,0.0,0.0,1.0,43,0.0,1.0,0.0,0.0
44,16.0,0,6,3,5,4,4,5,5,3,2,5,3,3,6,4,2,2,2,4,3,2,2,2,4,3,3,4.0,0.0,0.0,1.0,33,1.0,0.0,0.0,0.0
45,20.0,1,6,4,2,6,6,3,4,4,6,6,1,6,4,4,5,4,4,5,4,4,2,3,3,4,4,4.333333333333333,0.0,0.0,1.0,46,0.0,0.0,0.0,1.0
46,19.0,1,15,4,4,4,3,3,6,7,2,7,4,4,6,5,5,5,5,5,5,5,1,5,5,5,5,4.5,0.0,0.0,1.0,56,0.0,0.0,1.0,0.0
47,18.0,1,5,7,6,6,6,6,6,6,2,6,6,4,6,4,4,4,4,4,4,2,2,4,4,2,3,5.583333333333333,1.0,0.0,0.0,41,0.0,1.0,0.0,0.0
48,19.0,0,12,7,7,7,6,7,6,6,7,7,7,7,7,5,4,3,3,3,4,3,3,4,5,4,4,6.75,1.0,0.0,0.0,45,0.0,0.0,0.0,1.0
49,19.0,1,6,3,6,5,4,4,5,5,6,6,5,4,6,4,3,5,5,5,3,4,2,2,2,4,3,4.916666666666667,0.0,0.0,1.0,42,0.0,1.0,0.0,0.0
50,19.0,1,6,7,7,7,7,7,7,7,7,6,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,6.916666666666667,1.0,0.0,0.0,60,0.0,0.0,1.0,0.0
51,19.0,1,10,2,2,7,7,2,7,7,2,7,2,7,7,3,4,5,5,5,4,5,5,4,4,4,3,4.916666666666667,0.0,0.0,1.0,51,0.0,0.0,1.0,0.0
52,16.0,1,6,3,3,7,6,2,6,5,3,5,1,5,1,4,5,2,2,4,4,2,1,5,4,2,4,3.9166666666666665,0.0,0.0,1.0,39,0.0,1.0,0.0,0.0
53,22.0,0,17,7,6,2,2,6,6,2,2,6,6,2,7,5,5,1,1,5,5,3,1,3,3,5,5,4.5,0.0,0.0,1.0,42,0.0,1.0,0.0,0.0
54,19.0,0,18,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,3,2,3,4,1,3,4,3,3,5.0,0.0,0.0,1.0,36,1.0,0.0,0.0,0.0
55,21.0,0,6,6,7,7,7,7,6,6,7,6,7,7,5,5,3,3,3,4,4,3,5,3,4,5,4,6.5,1.0,0.0,0.0,46,0.0,0.0,0.0,1.0
56,22.0,1,12,3,3,6,5,7,7,6,4,4,7,5,6,4,4,5,5,3,4,4,3,4,4,4,5,5.25,1.0,0.0,0.0,49,0.0,0.0,1.0,0.0
57,21.0,0,6,2,3,5,5,2,4,2,5,2,2,6,3,4,4,4,4,3,3,1,3,4,4,4,3,3.4166666666666665,0.0,0.0,1.0,41,0.0,1.0,0.0,0.0
58,22.0,1,10,6,6,6,6,6,6,5,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,5.916666666666667,1.0,0.0,0.0,48,0.0,0.0,0.0,1.0
59,23.0,1,12,7,7,7,6,7,6,6,6,7,7,6,6,4,5,4,4,5,4,5,1,3,4,5,5,6.5,1.0,0.0,0.0,49,0.0,0.0,1.0,0.0
60,21.0,1,16,1,7,6,6,2,2,2,2,6,6,6,2,4,4,4,4,4,3,3,3,3,3,3,3,4.0,0.0,0.0,1.0,41,0.0,1.0,0.0,0.0
61,21.0,0,12,5,5,2,2,6,3,4,2,3,5,5,3,2,2,4,4,2,3,1,1,3,2,1,3,3.75,0.0,0.0,1.0,28,1.0,0.0,0.0,0.0
62,22.0,0,17,7,7,6,5,6,7,1,5,7,6,5,5,5,5,5,5,5,5,1,1,3,5,5,5,5.583333333333333,1.0,0.0,0.0,50,0.0,0.0,1.0,0.0
63,21.0,1,5,7,6,6,5,5,6,7,6,6,5,6,7,5,2,4,4,2,3,4,2,3,2,2,3,6.0,1.0,0.0,0.0,36,1.0,0.0,0.0,0.0
64,18.0,0,12,7,7,7,5,7,1,1,5,7,7,5,1,5,3,5,5,4,2,1,1,5,2,1,1,5.0,0.0,0.0,1.0,35,1.0,0.0,0.0,0.0
65,18.0,1,16,2,2,6,5,2,2,2,2,4,2,6,2,4,4,4,4,4,4,2,2,4,2,4,4,3.0833333333333335,0.0,0.0,1.0,42,0.0,1.0,0.0,0.0
66,21.0,0,10,6,6,6,6,6,6,6,6,6,6,6,6,4,4,2,2,1,3,3,3,3,3,3,3,6.0,1.0,0.0,0.0,34,1.0,0.0,0.0,0.0
67,19.0,0,12,5,6,6,6,6,2,2,2,6,6,6,6,3,3,3,3,2,3,2,3,3,3,3,5,4.916666666666667,0.0,0.0,1.0,36,1.0,0.0,0.0,0.0
68,20.0,1,9,7,7,7,7,7,7,7,2,7,7,6,6,4,3,2,2,1,5,2,5,3,4,3,4,6.416666666666667,1.0,0.0,0.0,38,0.0,1.0,0.0,0.0
69,20.0,1,3,4,2,5,5,5,1,5,3,5,7,7,7,1,2,4,4,1,2,2,4,5,3,3,4,4.666666666666667,0.0,0.0,1.0,35,1.0,0.0,0.0,0.0
70,19.0,0,10,4,7,7,4,7,4,4,4,7,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,5.0,0.0,0.0,1.0,36,1.0,0.0,0.0,0.0
71,18.0,0,16,6,4,4,5,6,5,6,2,6,6,5,6,4,4,4,4,2,2,4,5,3,2,5,4,5.083333333333333,1.0,0.0,0.0,43,0.0,1.0,0.0,0.0
72,17.0,0,12,3,3,5,4,4,4,4,4,4,4,4,4,2,4,3,3,2,4,3,3,4,5,3,3,3.9166666666666665,0.0,0.0,1.0,39,0.0,1.0,0.0,0.0
73,18.0,1,17,5,7,5,5,7,7,7,7,7,7,4,7,4,4,4,4,4,4,4,2,3,4,4,4,6.25,1.0,0.0,0.0,45,0.0,0.0,0.0,1.0
74,18.0,0,12,5,6,5,5,6,7,6,4,5,5,5,5,4,4,3,3,1,1,1,1,1,1,1,1,5.333333333333333,1.0,0.0,0.0,22,1.0,0.0,0.0,0.0
75,18.0,0,15,4,7,7,6,7,6,6,6,6,7,7,6,3,3,2,2,1,4,1,4,4,5,4,4,6.25,1.0,0.0,0.0,37,1.0,0.0,0.0,0.0
76,18.0,0,11,5,5,5,5,3,3,3,5,5,3,5,4,4,3,3,3,1,3,1,3,3,5,3,3,4.25,0.0,0.0,1.0,35,1.0,0.0,0.0,0.0
77,18.0,1,16,5,3,5,4,3,4,3,5,3,3,5,3,4,2,2,2,2,4,1,5,3,4,2,1,3.8333333333333335,0.0,0.0,1.0,32,1.0,0.0,0.0,0.0
78,19.0,0,10,7,5,5,5,6,5,4,3,5,6,5,5,2,5,2,2,1,2,1,3,3,4,4,1,5.083333333333333,1.0,0.0,0.0,30,1.0,0.0,0.0,0.0
79,19.0,0,12,5,5,6,5,4,6,5,4,5,4,5,5,3,2,2,2,3,3,4,4,5,5,2,3,4.916666666666667,0.0,0.0,1.0,38,0.0,1.0,0.0,0.0
80,19.0,0,1,5,6,3,3,6,5,6,4,6,3,4,7,4,3,1,1,1,2,2,3,4,4,4,2,4.833333333333333,0.0,0.0,1.0,31,1.0,0.0,0.0,0.0
81,21.0,0,12,2,7,1,1,7,5,6,1,7,7,1,6,3,4,3,3,3,3,2,2,3,4,1,3,4.25,0.0,0.0,1.0,34,1.0,0.0,0.0,0.0
82,20.0,1,16,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4.083333333333333,0.0,0.0,1.0,36,1.0,0.0,0.0,0.0
83,18.0,1,9,6,5,6,6,5,6,6,5,5,5,7,4,3,4,3,3,4,4,3,3,3,5,4,4,5.5,1.0,0.0,0.0,43,0.0,1.0,0.0,0.0
84,21.0,1,16,6,3,6,6,3,5,3,3,3,3,6,5,3,3,3,3,3,3,3,3,3,3,3,3,4.333333333333333,0.0,0.0,1.0,36,1.0,0.0,0.0,0.0
85,23.0,0,19,3,4,2,5,2,6,5,5,2,3,4,4,4,3,3,3,1,3,1,3,3,4,5,2,3.75,0.0,0.0,1.0,35,1.0,0.0,0.0,0.0
86,23.0,0,18,4,4,4,6,4,6,2,5,6,4,6,3,3,5,1,1,3,2,1,5,4,3,5,3,4.5,0.0,0.0,1.0,36,1.0,0.0,0.0,0.0
87,19.0,1,12,2,2,6,5,1,5,3,7,4,3,4,1,3,5,2,2,2,4,2,3,5,4,4,3,3.5833333333333335,0.0,0.0,1.0,39,0.0,1.0,0.0,0.0
88,19.0,0,3,4,2,2,2,6,6,6,2,6,6,2,6,4,4,4,4,2,2,2,2,2,2,2,2,4.166666666666667,0.0,0.0,1.0,32,1.0,0.0,0.0,0.0
89,17.0,1,15,6,6,4,3,6,5,5,3,5,5,3,5,3,4,3,3,5,4,2,3,5,2,3,4,4.666666666666667,0.0,0.0,1.0,41,0.0,1.0,0.0,0.0
90,26.0,1,9,6,6,6,5,7,7,6,6,7,6,6,7,2,4,2,2,2,3,4,2,3,3,2,2,6.25,1.0,0.0,0.0,31,1.0,0.0,0.0,0.0
91,18.0,1,5,5,6,2,3,5,2,2,2,2,6,5,5,4,4,4,4,4,4,4,4,4,4,1,5,3.75,0.0,0.0,1.0,46,0.0,0.0,0.0,1.0
92,17.0,0,5,7,6,5,4,7,1,1,1,7,7,7,1,3,2,1,1,1,2,1,5,4,3,1,3,4.5,0.0,0.0,1.0,27,1.0,0.0,0.0,0.0
93,18.0,1,4,3,7,6,5,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,5.75,1.0,0.0,0.0,48,0.0,0.0,0.0,1.0
94,18.0,1,8,5,6,6,5,5,6,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,5,4,4.916666666666667,0.0,0.0,1.0,39,0.0,1.0,0.0,0.0
95,20.0,1,16,5,7,7,6,5,7,7,7,7,7,7,6,3,3,4,4,3,5,3,2,3,4,5,5,6.5,1.0,0.0,0.0,44,0.0,0.0,0.0,1.0
96,19.0,1,12,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4.0,0.0,0.0,1.0,36,1.0,0.0,0.0,0.0
97,20.0,1,6,5,6,6,6,6,6,2,2,2,6,6,2,4,4,2,2,4,4,2,4,2,4,2,4,4.583333333333333,0.0,0.0,1.0,38,0.0,1.0,0.0,0.0
98,20.0,1,3,3,2,6,6,2,2,2,2,2,2,6,6,3,3,3,3,3,3,3,3,3,3,3,3,3.4166666666666665,0.0,0.0,1.0,36,1.0,0.0,0.0,0.0
99,19.0,1,19,5,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,2,4,4,4,4,4,4,4,5.916666666666667,1.0,0.0,0.0,46,0.0,0.0,0.0,1.0
100,21.0,1,19,5,5,6,5,1,1,1,1,2,2,2,2,2,2,2,2,2,3,1,2,2,1,2,2,2.75,0.0,1.0,0.0,23,1.0,0.0,0.0,0.0
101,20.0,1,2,7,4,6,4,6,6,6,4,6,6,6,4,5,5,5,5,5,5,3,1,4,5,4,3,5.416666666666667,1.0,0.0,0.0,50,0.0,0.0,1.0,0.0
102,19.0,1,6,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,7.0,1.0,0.0,0.0,60,0.0,0.0,1.0,0.0
103,16.0,1,6,1,1,1,1,1,1,5,1,2,7,1,3,1,1,1,1,1,5,5,5,5,5,5,5,2.0833333333333335,0.0,1.0,0.0,40,0.0,1.0,0.0,0.0
104,17.0,0,5,7,6,5,5,5,4,3,4,5,6,6,3,5,4,4,4,5,5,1,2,4,4,2,4,4.916666666666667,0.0,0.0,1.0,44,0.0,0.0,0.0,1.0
